name,sku,price,stock,category,is_active
Panadol 500mg Tablets (20s),MED-PND-500,45.00,200,Analgesics,1
Brufen 400mg Tablets (20s),MED-BRF-400,120.00,120,Analgesics,1
Amoxil 500mg Capsules (20s),MED-AMX-500,280.00,75,Antibiotics,1
Augmentin 625mg Tablets (14s),MED-AUG-625,650.00,50,Antibiotics,1
Flagyl 400mg Tablets (20s),MED-FLG-400,95.00,110,Antibiotics,1
Cetirizine 10mg Tablets (10s),MED-CET-010,55.00,160,Antihistamines,1
Calpol 120mg/5ml Syrup 60ml,MED-CAL-060,95.00,100,Syrups,1
Risek 20mg Capsules (14s),MED-RSK-020,380.00,85,Gastrointestinal,1
ORS Sachets (Box of 20),MED-ORS-020,180.00,120,Gastrointestinal,1
Ascard 75mg Tablets (30s),MED-ASC-075,95.00,100,Cardiac,1
Metformin 500mg Tablets (50s),MED-MET-500,110.00,130,Diabetes,1
Ventolin Inhaler 100mcg,MED-VEN-INH,480.00,55,Respiratory,1
Vitamin C 500mg Tablets (30s),MED-VTC-500,220.00,100,Vitamins,1
Betadine Solution 50ml,MED-BET-050,180.00,70,First Aid,1
Cotton Roll 100g,MED-COT-100,120.00,90,First Aid,1
Digital Thermometer,MED-THR-001,450.00,35,Devices,1
